n,author,title,editorial,pages,genre,subgenre,code
197,JEROME DAVID SALINGER,EL GUARDIÁN ENTRE EL CENTENO,ALIANZA,228,NOVELA,,BL1297
198,GONZALO CONTRERAS,EL NADADOR,ALFAGUARA,314,NOVELA,,BL1298
199,JOSÉ DONOSO,CORONACIÓN,SEIX BARRAL,219,NOVELA,,BL1299
200,MARTA BLANCO,MARADENTRO,ALFAGUARA,121,MISCELÁNEAS LITERARIAS,,BL1300
201,JOSÉ LUIS OLAIZOLA,CUCHO,EDICIONES SM,96,INFANTIL,,BL1301
202,VERÓNICA DE LA PAZ/MARGARITA MIRANDA/LUCÍA ROJAS,¡ALUMNO SORDO INTEGRADO! GUÍA PARA PROFESORES DE EDUCACIÓN GENERAL,UNIVERSITARIA,74,EDUCACIÓN,,BL1302
203,MARÍA OLIVIA MÖNCKEBERG,EL SAQUEO DE LOS GRUPOS ECONÓMICOS AL ESTADO CHILENO,EDICIONES B,269,PERIODISMO,,BL1303
204,MIGUEL DE CERVANTES,TEXTOS ESCOGIDOS,BIBLIOTECA DE ORO DEL ESTUDIANTE,142,CLÁSICOS Y CUENTOS,,BL1304
205,"FELIPE BERRIOS, S.J.",PARA AMAR Y SERVIR (CIEN REFLEXIONES),SANTILLANA,145,ENSAYOS,,BL1305
206,ROBERT LAWRENCE STINE,ESCALOFRÍOS: EL CAMPO DE LAS PESADILLAS,NORMA,142,NOVELA,TERROR,BL1306
207,VARIOS AUTORES,CUENTOS LATINOAMERICANOS: ANTOLOGÍA,ALFAGUARA,134,CLÁSICOS Y CUENTOS,,BL1307
208,JOSÉ MARÍA SÁNCHEZ SILVA,MARCELINO PAN Y VINO,COLICHEUQUE,77,NOVELA,,BL1308
209,WILKIE COLLINS,LA DAMA DE BLANCO,ANDRÉS BELLO,260,NOVELA,,BL1309
210,ISABEL ALLENDE,CUENTOS DE EVA LUNA,COPESA EDITORIAL,249,NOVELA,,BL1310
211,FRANCK BAUM,EL MAGO DE OZ,ZIG-ZAG,94,CLÁSICOS Y CUENTOS,,BL1311
212,AGATHA CHRISTIE,PASAJERO PARA FRANCKFURT,PLANETA,232,NOVELA,POLICIAL,BL1312
213,JUAN RULFO,PEDRO PÁRAMO,FONDO DE CULTURA ECONÓMICA,129,NOVELA,,BL1313
214,OSCAR CASTRO,COMARCA DE JAZMÍN,ANDRÉS BELLO,153,JUVENIL,,BL1314
215,GABRIEL GARCÍA MÁRQUEZ,CIEN AÑOS DE SOLEDAD,RANDOM HOUSE MONDADORI,495,NOVELA,,BL1315
216,EGON WOLFF,LOS INVASORES/JOSÉ,PEHUÉN,160,TEATRO,,BL1316
217,ERWIN MOSER,EL LEÓN DESTRONADO Y OTRAS NUEVE HISTORIAS,GAVIOTA JUNIOR,130,INFANTIL,,BL1317
218,BENITO PÉREZ GALDÓS,MARIANELA,ANDRÉS BELLO,163,NOVELA,,BL1318
219,HUGO SILVA,PACHA PULAI,ZIG-ZAG,219,NOVELA,,BL1319
220,VARIOS AUTORES,CUENTOS LATINOAMERICANOS: ANTOLOGÍA,ALFAGUARA,134,CLÁSICOS Y CUENTOS,,BL1320
221,MARK TWAIN,EL PRÍNCIPE Y EL MENDIGO,ZIG-ZAG,123,CLÁSICOS Y CUENTOS,,BL1321
222,MADELEINE L'ENGLE,CAMILA,ALFAGUARA,197,NOVELA,,BL1322
223,RAY BRADBURY,CRÓNICAS MARCIANAS,ATAHUALPA EDICIONES,231,NOVELA,,BL1323
224,ALBERTO FUGUET,SOBREDOSIS,AGUILAR,122,NOVELA,,BL1324
225,VARIOS AUTORES,"GRAN ATLAS DE CHILE: GEOGRÁFICO, HISTÓRICO Y CULTURAL",UNLIMITED,94,EDUCACIÓN,,BL1325
226,ROBERTO AMPUERO,HALCONES DE LA NOCHE,PLANETA,301,NOVELA,,BL1326
227,BORIS QUERCIA,"SANTIAGO QUIÑONES, TIRA",RANDOM HOUSE MONDADORI,151,NOVELA,,BL1327
228,VARIOS AUTORES,"GRAN DICCIONARIO: SINÓNIMOS, ANTÓNIMOS, PARÓNIMOS Y ETIMOLOGÍA",EDITORIAL CORDILLERA,599,DICCIONARIOS,,BL1328
229,JACQUELINE BALCELLS/ANA MARÍA GÜIRALDES,EMILIA: INTRIGA EN QUINTAY,ANDRÉS BELLO,94,JUVENIL,,BL1329
230,NIKOLAUS PIPER,FÉLIX EN LA BOLSA,EDICIONES SM,252,NOVELA,,BL1330
231,ALBERT CAMUS,EL EXTRANJERO,PLANETA,112,NOVELA,,BL1331
232,HOMERO,LA ODISEA,ERCILLA,253,CLÁSICOS Y CUENTOS,,BL1332
233,VÍCTOR CARVAJAL,"MAMIRE, EL ÚLTIMO NIÑO",ALFAGUARA,110,INFANTIL,,BL1333
234,VICTOR ANDRÉ,APRENDA A CONOCER LOS VINOS,SWING,252,GASTRONOMÍA,,BL1334
235,ANTONIO SKÁRMETA,ARDIENTE PACIENCIA,SUDAMERICANA,140,NOVELA,,BL1335
236,JUAN GARCÍA HORTELANO,APÓLOGOS Y MILESIOS,EDICIONES B,171,CLÁSICOS Y CUENTOS,,BL1336
237,ANALÍA L'ABBATE/KARINA QIAN GAO,LA ESTRATEGIA DEL DRAGÓN,V&R EDITORAS,93,MISCELÁNEAS LITERARIAS,,BL1337
238,ROBERT LOUIS STEVENSON,LA ISLA DEL TESORO,RAMÓN SOPENA,240,CLÁSICOS Y CUENTOS,,BL1338
239,SÓFOCLES,EDIPO REY,PROSA,94,TEATRO,,BL1339
240,EDGARD ALLAN POE,NARRACIONES EXTRAORDINARIAS,CENTRO GRÁFICO,203,CLÁSICOS Y CUENTOS,PRESTADO GABRIEL HIZAUT,BL1340
241,VARIOS AUTORES,16 CUENTOS LATINOAMERICANOS,COEDICIÓN LATINOAMERICANA,221,CLÁSICOS Y CUENTOS,,BL1341
242,PLATÓN,APOLOGÍA DE SÓCRATES,COLICHEUQUE,80,FILOSOFÍA Y PSICOLOGÍA,,BL1342
243,VARIOS AUTORES,CUENTOS DEL ANTIGUO EGIPTO,EDAF,365,CLÁSICOS Y CUENTOS,,BL1343
244,NATHANIEL HAWTHORNE,LA LETRA ESCARLATA,ANDRÉS BELLO,265,NOVELA,,BL1344
245,JOSÉ SARAMAGO,EL CUADERNO,ALFAGUARA,229,MISCELÁNEAS LITERARIAS,,BL1345
246,RENÉ DESCARTES,DISCURSO DEL MÉTODO,COLICHEUQUE,80,FILOSOFÍA Y PSICOLOGÍA,,BL1346
247,ERICH FROMM,EL ARTE DE AMAR,PAIDÓS,128,ENSAYOS,,BL1347
248,MARÍA GRIPE,LOS ESCARABAJOS VUELAN AL ATARDECER,EDICIONES SM,225,NOVELA,,BL1348
249,DANIELA GARCÍA PALOMER,ELEGÍ VIVIR,RANDOM HOUSE MONDADORI,224,BIOGRAFÍAS Y TESTIMONIOS,,BL1349
250,CARE SANTOS,INSEPARABLES PARA SIEMPRE: SER FELIZ ES FÁCIL,EDICIONES B,157,JUVENIL,,BL1350
251,EDUARDO BASTÍAS GUZMÁN,DONDE VUELAN LOS CÓNDORES: UNA PESADILLA Y UNA ESPERANZA,ANDRÉS BELLO,110,JUVENIL,,BL1351
252,JORGE ISAACS,MARÍA,ZIG-ZAG,333,NOVELA,,BL1352
253,SÓFOCLES,EDIPO REY,COLICHEUQUE,79,TEATRO,,BL1353
254,GENARO PRIETO,EL SOCIO,CENTRO GRÁFICO,148,NOVELA,,BL1354
255,OSCAR WILDE,EL FANTASMA DE CANTERVILLE,ZIG-ZAG,104,CLÁSICOS Y CUENTOS,,BL1355
256,ROALD DAHL,LAS BRUJAS,ALFAGUARA,200,INFANTIL,,BL1356
257,VARIOS AUTORES,"ATLAS DE LO EXTRAORDINARIO: LUGARES MISTERIOSOS, VOLUMEN I",DEBATE. EDICIONES DEL PRADO,120,EDUCACIÓN,,BL1357
258,TED HUGHES,POEMAS DE ANIMALES,MONDADORI,64,POESÍA,,BL1358
259,FRANCES HODGSON BURNETT,EL JARDÍN SECRETO,CENTRO GRÁFICO,158,NOVELA,,BL1359
260,ROBERT LOUIS STEVENSON,EL EXTRAÑO CASO DEL DR. JEKYLL Y DEL SR. HYDE,JORGE A. MESTAS EDICIONES,122,NOVELA,,BL1360
261,JOSÉ ZORRILLA,DON JUAN TENORIO,CENTRO GRÁFICO,120,TEATRO,,BL1361
262,RAY BRADBURY,CRÓNICAS MARCIANAS,MINOTAURO,275,NOVELA,,BL1362
263,HOMERO,LA ODISEA,ANDRÉS BELLO,109,CLÁSICOS Y CUENTOS,,BL1363
264,EDMUNDO DE AMICIS,CORAZÓN,ZIG-ZAG,154,JUVENIL,,BL1364
265,HORACIO QUIROGA,CUENTOS DE LA SELVA,ZIG-ZAG,126,CLÁSICOS Y CUENTOS,,BL1365
266,FRANZ KAFKA,ANTE LA LEY Y OTROS CUENTOS,LA COPA ROTA,95,CLÁSICOS Y CUENTOS,,BL1366
267,GUSTAVE FLAUBERT,MADAME BOVARY,RAMÓN SOPENA,272,CLÁSICOS Y CUENTOS,,BL1367
268,HOMERO,LA ODISEA,BRUGUERA,446,CLÁSICOS Y CUENTOS,,BL1368
269,GUILLERMO BLANCO,GRACIA Y EL FORASTERO,ZIG-ZAG,170,NOVELA,,BL1369
270,OSCAR WILDE,EL RETRATO DE DORIAN GRAY,COLICHEUQUE,80,NOVELA,,BL1370
271,ADOLFO COZZI,ESTADO NACIONAL,SUDAMERICANA,109,MISCELÁNEAS LITERARIAS,,BL1371
272,LUIS DE GÓNGORA/FRANCISCO DE QUEVEDO,POESÍA SELECTA,ERCILLA,240,POESÍA,,BL1372
273,ENRIQUE LAFOURCADE,PALOMITA BLANCA,ZIG-ZAG,159,JUVENIL,,BL1373
274,JOHN ESCOTT,WILLIAM TELL AND OTHER STORIES,OXFORD UNIVERSITY PRESS,49,NOVELA INGLÉS,,BL1374
275,PLATÓN,LA APOLOGÍA DE SÓCRATES,TEXIDO,72,FILOSOFÍA Y PSICOLOGÍA,,BL1375
