n,author,title,editorial,pages,genre,subgenre,code
362,VARIOS AUTORES,LAS MÁS GRANDES OBRAS MUSICALES DE TODOS LOS TIEMPOS: BEETHOVEN,ERCILLA,95,BIOGRAFÍAS Y TESTIMONIOS,,BL1462
363,GABRIEL GARCÍA MÁRQUEZ,LA INCREÍBLE Y TRISTE HISTORIA DE LA CÁNDIDA ERÉNDIDA Y DE SU ABUELA DESALMADA: SIETE CUENTOS,SUDAMERICANA,163,CLÁSICOS Y CUENTOS,,BL1463
364,DARÍO OSES,ROCKEROS CELESTES,ANDRÉS BELLO,94,NOVELA,,BL1464
365,SÓFOCLES,EDIPO REY,CENTRO GRÁFICO,95,TEATRO,,BL1465
366,MARIO BENEDETTI,LA TREGUA,SUDAMERICANA,163,NOVELA,,BL1466
367,ANTONIO MACHADO,POESÍA,ANDRÉS BELLO,156,POESÍA,,BL1467
368,MAURICE LEBLANC,"ARSENIO LUPIN, CABALLERO LADRÓN",ANDRÉS BELLO,178,NOVELA,,BL1468
369,JULIO VERNE,LOS HIJOS DEL CAPITÁN GRANT,ANDRÉS BELLO,216,CLÁSICOS Y CUENTOS,,BL1469
370,HERNÁN DEL SOLAR,LA POROTA,ZIG-ZAG,110,INFANTIL,,BL1470
371,GABRIEL GARCÍA MÁRQUEZ,LOS FUNERALES DE LA MAMÁ GRANDE,SUDAMERICANA,195,CLÁSICOS Y CUENTOS,,BL1471
372,ROBERT LOUIS STEVENSON,LA ISLA DEL TESORO,ZIG-ZAG,149,CLÁSICOS Y CUENTOS,,BL1472
373,MANUEL ROJAS,LA CIUDAD DE LOS CÉSARES,ZIG-ZAG,153,CLÁSICOS Y CUENTOS,,BL1473
374,ARIEL SENOSIAIN,LO SUFICIENTEMENTE LOCO: UNA BIOGRAFÍA DE MARCELO BIELSA,SUDAMERICANA,187,BIOGRAFÍAS Y TESTIMONIOS,PRESTADO HERNÁN HIZAUT,BL1474
375,GEORGE ORWELL,LA GRANJA DE LOS ANIMALES,CENTRO GRÁFICO,103,NOVELA,PRESTADO JORGE HIZAUT,BL1475
376,PEARL BUCK,LA BUENA TIERRA2,CENTRO GRÁFICO,255,NOVELA,PRESTADO JORGE HIZAUT,BL1476
