"n","author","title","editorial","pages","genre","subgenre","code"
"332","HERMANN HESSE","DEMIAN","ALBA EDITORES","158","CLÁSICOS Y CUENTOS","","BL1432"
"333","HERMANN HESSE","DEMIAN","ARGONAUTA","157","CLÁSICOS Y CUENTOS","","BL1433"
"334","CHARLES DICKENS","OLIVER TWIST","TEXIDO","80","CLÁSICOS Y CUENTOS","(*) DATOS PERSONALES","BL1434"
"335","LOBSANG RAMPA","EL TERCER OJO","EDICIONES TROQUEL","255","BIOGRAFÍAS Y TESTIMONIOS","","BL1435"
"336","SATSVARÜPA DÄSA GOSWAMI","LA FUENTE DE LA SABIDURÍA","THE BHAKTIVEDANTA BOOK TRUST","66","FILOSOFÍA Y PSICOLOGÍA","","BL1436"
"337","MARCELA PAZ/ALICIA MOREL","PERICO TREPA POR CHILE","UNIVERSITARIA","183","INFANTIL","","BL1437"
"338","ANDREU MARTÍN/JAUME RIBERA","NO PIDAS SARDINA FUERA DE TEMPORADA","ALFAGUARA","178","JUVENIL","","BL1438"
"339","VARIOS AUTORES","ACÉFALOS: REFLEXIONES FILOSÓFICAS DESDE EL BARRO","ER TUFO","144","REVISTA","","BL1439"
"340","JOAQUÍN EDWARDS BELLO","EN EL VIEJO ALMENDRAL: TOMO I","ANDRÉS BELLO","190","NOVELA","","BL1440"
"341","WILLIAM SHAKESPEARE","HAMLET Y EL MERCADER DE VENECIA","ERCILLA","250","TEATRO","","BL1441"
"342","ROALD DAHL","EL SUPERZORRO","ALFAGUARA","161","INFANTIL","","BL1442"
"343","MICHAEL COLEMAN","DETECTIVES DE INTERNET: CIBERDOMINIO","EDICIONES B","149","JUVENIL","","BL1443"
"344","PAULO COELHO","EL ALQUIMISTA","GRIJALBO","236","NOVELA","","BL1444"
"345","HÉCTOR HIDALGO","LOS CUENTOS DE LA CIUDAD DORMIDA","ARRAYÁN EDITORES","75","INFANTIL","","BL1445"
"346","DAVID GONZÁLEZ GAJARDO","CUBA: AZÚCAR AMARGA","ERCILLA","263","NOVELA","","BL1446"
"347","VARIOS AUTORES","LEYENDAS CHILENAS","ANDRÉS BELLO","77","CLÁSICOS Y CUENTOS","","BL1447"
"348","VARIOS AUTORES","4 CUENTOS DE ANIMALES","PUBLICACIONES FHER","46","INFANTIL","","BL1448"
"349","MIGUEL DE UNAMUNO","NIEBLA","ERCILLA","189","NOVELA","","BL1449"
"350","MARÍA LUISA BOMBAL","LA AMORTAJADA","UNIVERSITARIA","96","NOVELA","","BL1450"
"351","VARIOS AUTORES","¿CRISIS ALIMENTARIA MUNDIAL? ALIMENTOS Y COMIDA 'CHATARRA': ENTRE DESNUTRICIÓN Y OBESIDAD","AÚN CREEMOS EN LOS SUEÑOS","68","ENSAYOS","","BL1451"
"352","PABLO NERUDA","RESIDENCIA EN LA TIERRA","RANDOM HOUSE MONDADORI","144","POESÍA","","BL1452"
"353","SÓFOCLES","ELECTRA","OLIMPO","88","TEATRO","","BL1453"
"354","D. DEL OLMO","NAPOLEÓN","RAMÓN SOPENA","180","NOVELA","","BL1454"
"355","FERNANDO KLEIN","CUANDO DIOS ERA MUJER","ARCOPRESS","150","ENSAYOS","","BL1455"
"356","PENNY HANCOCK","A LOVE FOR LIFE","CAMBRIDGE UNIVERSITY PRESS","112","NOVELA INGLÉS","","BL1456"
"357","MARÍA LUISA BOMBAL","LA AMORTAJADA","UNIVERSITARIA","96","NOVELA","","BL1457"
"358","HORACIO QUIROGA","CUENTOS DE AMOR, LOCURA Y MUERTE","COLICHEUQUE","80","CLÁSICOS Y CUENTOS","","BL1458"
"359","ENRIQUE LAFOURCADE","PALOMITA BLANCA","ERCILLA","139","JUVENIL","","BL1459"
"360","OSCAR WILDE","LA IMPORTANCIA DE LLAMARSE ERNESTO","ANDRÉS BELLO","175","TEATRO","","BL1460"
"361","ISAAC ASIMOV","EL HOMBRE BICENTENARIO Y OTROS CUENTOS","EDICIONES B","476","NOVELA","","BL1461"
"362","DAVID BYRNE","DIARIOS DE BICICLETA","RANDOM HOUSE MONDADORI","362","BIOGRAFÍAS Y TESTIMONIOS","","BL1462"
